Project,Category,Value
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Daily Riders (2045),"9,800"
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,New Daily Riders (2045),400
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Equity Area Riders (2045),"9,510"
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Travel Time Saved Per Trip (minutes),3.6
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost/Time Saved metric,Cost/minute
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost/Time Saved result,$11.74 
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost/Time Saved score,17
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Equity metric,Percent
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Equity result,97.20%
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Equity score,97
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Sustainability metric,Change in daily vehicle miles traveled
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Sustainability result,"-3,235"
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Sustainability score,25
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Resiliency metric,Number of Rail Connections
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Resiliency result,0
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Resiliency score,0
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Capacity metric,Change in passenger hours
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Capacity result,648
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Capacity score,0
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Geographic distribution metric,Change in hours
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Geographic distribution result,"2,519"
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Geographic distribution score,0
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Network leverage metric,Percent
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Network leverage result,0.6
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Network leverage score,47
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Guideway and Track Elements,"$241,846,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,"Cost: Stations, Stops, Terminals, Intermodal","$337,939,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Support Facilities,"$4,080,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Sitework and Special Considerations,"$462,650,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Systems,"$50,941,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Engineering Contingency,"$193,669,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Professional Services,"$329,237,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Contingency,"$258,225,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Original Estimate Year,2020
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Escalation from original estimate year to Q1 2022 (varies),"$218,855,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Escalation from Q1 2022 to Q3 2027,"$436,881,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Escalation from Q1 2023 to Q3 2027,N/A
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Network Leverage: % on MTA Right of Way,68%
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Network Leverage: % on Public Right of Way,0%
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Network Leverage: % on Private Right of Way,32%
New Lots Avenue 3 Line Extension Flatlands,Description,Extension of the New Lots Avenue 3 Line on an elevated structure southeast past Livonia Yard to a new terminal at Flatlands Avenue and Linwood Street/Elton Street.
New Lots Avenue 3 Line Extension Flatlands,Objectives,Reduce travel times and increase reliability for residents and workers in underserved communities; provide better connectivity to existing subway network.
New Lots Avenue 3 Line Extension Flatlands,Total Construction Cost ($2027),"$1,780,000,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Vehicles ($2027),"$101,160,000 "
New Lots Avenue 3 Line Extension Flatlands,Annual O&M Cost ($2027),"$17,000,000 "
New Lots Avenue 3 Line Extension Flatlands,Daily Riders (2045),"8,600"
New Lots Avenue 3 Line Extension Flatlands,New Daily Riders (2045),300
New Lots Avenue 3 Line Extension Flatlands,Equity Area Riders (2045),"8,510"
New Lots Avenue 3 Line Extension Flatlands,Travel Time Saved Per Trip (minutes),3.9
New Lots Avenue 3 Line Extension Flatlands,Cost/Time Saved metric,Cost/minute
New Lots Avenue 3 Line Extension Flatlands,Cost/Time Saved result,$8.64 
New Lots Avenue 3 Line Extension Flatlands,Cost/Time Saved score,41
New Lots Avenue 3 Line Extension Flatlands,Equity metric,Percent
New Lots Avenue 3 Line Extension Flatlands,Equity result,99.10%
New Lots Avenue 3 Line Extension Flatlands,Equity score,100
New Lots Avenue 3 Line Extension Flatlands,Sustainability metric,Change in daily vehicle miles traveled
New Lots Avenue 3 Line Extension Flatlands,Sustainability result,"-1,985"
New Lots Avenue 3 Line Extension Flatlands,Sustainability score,24
New Lots Avenue 3 Line Extension Flatlands,Resiliency metric,Number of Rail Connections
New Lots Avenue 3 Line Extension Flatlands,Resiliency result,0
New Lots Avenue 3 Line Extension Flatlands,Resiliency score,0
New Lots Avenue 3 Line Extension Flatlands,Capacity metric,Change in passenger hours
New Lots Avenue 3 Line Extension Flatlands,Capacity result,-384
New Lots Avenue 3 Line Extension Flatlands,Capacity score,4
New Lots Avenue 3 Line Extension Flatlands,Geographic distribution metric,Change in hours
New Lots Avenue 3 Line Extension Flatlands,Geographic distribution result,"6,200"
New Lots Avenue 3 Line Extension Flatlands,Geographic distribution score,0
New Lots Avenue 3 Line Extension Flatlands,Network leverage metric,Percent
New Lots Avenue 3 Line Extension Flatlands,Network leverage result,0.76
New Lots Avenue 3 Line Extension Flatlands,Network leverage score,68
New Lots Avenue 3 Line Extension Flatlands,Cost: Guideway and Track Elements,"$161,231,000 "
New Lots Avenue 3 Line Extension Flatlands,"Cost: Stations, Stops, Terminals, Intermodal","$225,293,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Support Facilities,"$4,080,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Sitework and Special Considerations,"$316,742,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Systems,"$44,583,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Engineering Contingency,"$132,693,000 "
New Lots Avenue 3 Line Extension Flatlands,"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$30,737,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Professional Services,"$225,579,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Contingency,"$176,925,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Original Estimate Year,2020
New Lots Avenue 3 Line Extension Flatlands,Cost: Escalation from original estimate year to Q1 2022 (varies),"$153,531,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Escalation from Q1 2022 to Q3 2027,"$306,480,000 "
New Lots Avenue 3 Line Extension Flatlands,Cost: Escalation from Q1 2023 to Q3 2027,N/A
New Lots Avenue 3 Line Extension Flatlands,Network Leverage: % on MTA Right of Way,47%
New Lots Avenue 3 Line Extension Flatlands,Network Leverage: % on Public Right of Way,0%
New Lots Avenue 3 Line Extension Flatlands,Network Leverage: % on Private Right of Way,53%
Port Jefferson Branch Capacity Improvements,Description,"Improvements of the Long Island Rail Road Port Jefferson Branch, including electrification, double tracking, stations, storage yard, and associated infrastructure."
Port Jefferson Branch Capacity Improvements,Objectives,Increase travel speeds and frequency while providing a one-seat ride to Penn Station and Grand Central Madison; reduce demand on the Ronkonkoma Branch.
Port Jefferson Branch Capacity Improvements,Total Construction Cost ($2027),"$3,120,000,000 "
Port Jefferson Branch Capacity Improvements,Cost: Vehicles ($2027),N/A
Port Jefferson Branch Capacity Improvements,Annual O&M Cost ($2027),"$74,000,000 "
Port Jefferson Branch Capacity Improvements,Daily Riders (2045),"27,900"
Port Jefferson Branch Capacity Improvements,New Daily Riders (2045),"1,400"
Port Jefferson Branch Capacity Improvements,Equity Area Riders (2045),"10,970"
Port Jefferson Branch Capacity Improvements,Travel Time Saved Per Trip (minutes),3.6
Port Jefferson Branch Capacity Improvements,Cost/Time Saved metric,Cost/minute
Port Jefferson Branch Capacity Improvements,Cost/Time Saved result,$6.18 
Port Jefferson Branch Capacity Improvements,Cost/Time Saved score,60
Port Jefferson Branch Capacity Improvements,Equity metric,Percent
Port Jefferson Branch Capacity Improvements,Equity result,39.40%
Port Jefferson Branch Capacity Improvements,Equity score,22
Port Jefferson Branch Capacity Improvements,Sustainability metric,Change in daily vehicle miles traveled
Port Jefferson Branch Capacity Improvements,Sustainability result,"-32,796"
Port Jefferson Branch Capacity Improvements,Sustainability score,57
Port Jefferson Branch Capacity Improvements,Resiliency metric,Number of Rail Connections
Port Jefferson Branch Capacity Improvements,Resiliency result,0
Port Jefferson Branch Capacity Improvements,Resiliency score,0
Port Jefferson Branch Capacity Improvements,Capacity metric,Change in passenger hours
Port Jefferson Branch Capacity Improvements,Capacity result,"-2,018"
Port Jefferson Branch Capacity Improvements,Capacity score,25
Port Jefferson Branch Capacity Improvements,Geographic distribution metric,Change in hours
Port Jefferson Branch Capacity Improvements,Geographic distribution result,"-20,719"
Port Jefferson Branch Capacity Improvements,Geographic distribution score,81
Port Jefferson Branch Capacity Improvements,Network leverage metric,Percent
Port Jefferson Branch Capacity Improvements,Network leverage result,0.96
Port Jefferson Branch Capacity Improvements,Network leverage score,95
Port Jefferson Branch Capacity Improvements,Cost: Guideway and Track Elements,"$118,135,000 "
Port Jefferson Branch Capacity Improvements,"Cost: Stations, Stops, Terminals, Intermodal","$106,972,000 "
Port Jefferson Branch Capacity Improvements,Cost: Support Facilities,"$77,492,800 "
Port Jefferson Branch Capacity Improvements,Cost: Sitework and Special Considerations,"$159,970,000 "
Port Jefferson Branch Capacity Improvements,Cost: Systems,"$467,922,000 "
Port Jefferson Branch Capacity Improvements,Cost: Engineering Contingency,"$164,204,000 "
Port Jefferson Branch Capacity Improvements,"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$5,000,000 "
Port Jefferson Branch Capacity Improvements,Cost: Professional Services,"$865,361,000 "
Port Jefferson Branch Capacity Improvements,Cost: Contingency,"$347,744,000 "
Port Jefferson Branch Capacity Improvements,Cost: Original Estimate Year,2020
Port Jefferson Branch Capacity Improvements,Cost: Escalation from original estimate year to Q1 2022 (varies),"$269,441,000 "
Port Jefferson Branch Capacity Improvements,Cost: Escalation from Q1 2022 to Q3 2027,"$537,860,000 "
Port Jefferson Branch Capacity Improvements,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Port Jefferson Branch Capacity Improvements,Network Leverage: % on MTA Right of Way,95%
Port Jefferson Branch Capacity Improvements,Network Leverage: % on Public Right of Way,0%
Port Jefferson Branch Capacity Improvements,Network Leverage: % on Private Right of Way,5%
Port Jervis Line Capacity Improvements (Midpoint Yard),Description,Construction of a new rail yard at Metro-North Railroad Campbell Hall station capitalizing on new Port Jervis line track infrastructure.
Port Jervis Line Capacity Improvements (Midpoint Yard),Objectives,"Improve operational efficiency, flexibility, and service reliability, and introduce reverse peak service."
Port Jervis Line Capacity Improvements (Midpoint Yard),Total Construction Cost ($2027),"$360,000,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Vehicles ($2027),N/A
Port Jervis Line Capacity Improvements (Midpoint Yard),Annual O&M Cost ($2027),"$5,000,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),Daily Riders (2045),"11,000"
Port Jervis Line Capacity Improvements (Midpoint Yard),New Daily Riders (2045),40
Port Jervis Line Capacity Improvements (Midpoint Yard),Equity Area Riders (2045),"8,020"
Port Jervis Line Capacity Improvements (Midpoint Yard),Travel Time Saved Per Trip (minutes),0.1
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost/Time Saved metric,Cost/minute
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost/Time Saved result,$40.46 
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost/Time Saved score,0
Port Jervis Line Capacity Improvements (Midpoint Yard),Equity metric,Percent
Port Jervis Line Capacity Improvements (Midpoint Yard),Equity result,72.90%
Port Jervis Line Capacity Improvements (Midpoint Yard),Equity score,66
Port Jervis Line Capacity Improvements (Midpoint Yard),Sustainability metric,Change in daily vehicle miles traveled
Port Jervis Line Capacity Improvements (Midpoint Yard),Sustainability result,"-1,726"
Port Jervis Line Capacity Improvements (Midpoint Yard),Sustainability score,23
Port Jervis Line Capacity Improvements (Midpoint Yard),Resiliency metric,Number of Rail Connections
Port Jervis Line Capacity Improvements (Midpoint Yard),Resiliency result,0
Port Jervis Line Capacity Improvements (Midpoint Yard),Resiliency score,0
Port Jervis Line Capacity Improvements (Midpoint Yard),Capacity metric,Change in passenger hours
Port Jervis Line Capacity Improvements (Midpoint Yard),Capacity result,-152
Port Jervis Line Capacity Improvements (Midpoint Yard),Capacity score,1
Port Jervis Line Capacity Improvements (Midpoint Yard),Geographic distribution metric,Change in hours
Port Jervis Line Capacity Improvements (Midpoint Yard),Geographic distribution result,"-1,537"
Port Jervis Line Capacity Improvements (Midpoint Yard),Geographic distribution score,5
Port Jervis Line Capacity Improvements (Midpoint Yard),Network leverage metric,Percent
Port Jervis Line Capacity Improvements (Midpoint Yard),Network leverage result,0.25
Port Jervis Line Capacity Improvements (Midpoint Yard),Network leverage score,0
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Guideway and Track Elements,$0 
Port Jervis Line Capacity Improvements (Midpoint Yard),"Cost: Stations, Stops, Terminals, Intermodal",$0 
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Support Facilities,"$46,331,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Sitework and Special Considerations,"$79,795,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Systems,"$13,804,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Engineering Contingency,"$24,694,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Professional Services,"$71,232,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Contingency,"$32,925,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Original Estimate Year,2021
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Escalation from original estimate year to Q1 2022 (varies),"$26,287,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Escalation from Q1 2022 to Q3 2027,"$61,460,000 "
Port Jervis Line Capacity Improvements (Midpoint Yard),Cost: Escalation from Q1 2023 to Q3 2027,N/A
Port Jervis Line Capacity Improvements (Midpoint Yard),Network Leverage: % on MTA Right of Way,0%
Port Jervis Line Capacity Improvements (Midpoint Yard),Network Leverage: % on Public Right of Way,0%
Port Jervis Line Capacity Improvements (Midpoint Yard),Network Leverage: % on Private Right of Way,100%
Ridgewood Busway,Description,"Conversion of an existing MTA-owned right-of-way into an exclusive busway running approximately half a mile from Palmetto Street near Onderdonk Avenue to Fresh Pond Road. This project has previously been referred to as Myrtle Avenue Busway, as it runs under the Myrtle Avenue M line. Since the actual area of the project is not at Myrtle Avenue, however, the project has been renamed."
Ridgewood Busway,Objectives,Improve operations by eliminating difficult turns and traffic issues. Increase bus speeds and service reliability
Ridgewood Busway,Total Construction Cost ($2027),"$30,000,000 "
Ridgewood Busway,Cost: Vehicles ($2027),N/A
Ridgewood Busway,Annual O&M Cost ($2027),"($2,000,000)"
Ridgewood Busway,Daily Riders (2045),"8,900"
Ridgewood Busway,New Daily Riders (2045),200
Ridgewood Busway,Equity Area Riders (2045),"8,350"
Ridgewood Busway,Travel Time Saved Per Trip (minutes),1.7
Ridgewood Busway,Cost/Time Saved metric,Cost/minute
Ridgewood Busway,Cost/Time Saved result,$0.00 
Ridgewood Busway,Cost/Time Saved score,100
Ridgewood Busway,Equity metric,Percent
Ridgewood Busway,Equity result,93.60%
Ridgewood Busway,Equity score,93
Ridgewood Busway,Sustainability metric,Change in daily vehicle miles traveled
Ridgewood Busway,Sustainability result,-287
Ridgewood Busway,Sustainability score,22
Ridgewood Busway,Resiliency metric,Number of Rail Connections
Ridgewood Busway,Resiliency result,2
Ridgewood Busway,Resiliency score,11
Ridgewood Busway,Capacity metric,Change in passenger hours
Ridgewood Busway,Capacity result,-239
Ridgewood Busway,Capacity score,2
Ridgewood Busway,Geographic distribution metric,Change in hours
Ridgewood Busway,Geographic distribution result,-347
Ridgewood Busway,Geographic distribution score,0
Ridgewood Busway,Network leverage metric,Percent
Ridgewood Busway,Network leverage result,0.5
Ridgewood Busway,Network leverage score,33
Ridgewood Busway,Cost: Guideway and Track Elements,"$3,123,000 "
Ridgewood Busway,"Cost: Stations, Stops, Terminals, Intermodal","$1,126,000 "
Ridgewood Busway,Cost: Support Facilities,$0 
Ridgewood Busway,Cost: Sitework and Special Considerations,"$8,043,000 "
Ridgewood Busway,Cost: Systems,"$765,000 "
Ridgewood Busway,Cost: Engineering Contingency,"$2,304,000 "
Ridgewood Busway,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Ridgewood Busway,Cost: Professional Services,"$3,917,000 "
Ridgewood Busway,Cost: Contingency,"$3,072,000 "
Ridgewood Busway,Cost: Original Estimate Year,2020
Ridgewood Busway,Cost: Escalation from original estimate year to Q1 2022 (varies),"$2,604,000 "
Ridgewood Busway,Cost: Escalation from Q1 2022 to Q3 2027,"$5,198,000 "
Ridgewood Busway,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Ridgewood Busway,Network Leverage: % on MTA Right of Way,0%
Ridgewood Busway,Network Leverage: % on Public Right of Way,100%
Ridgewood Busway,Network Leverage: % on Private Right of Way,0%
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Description,Reactivation of 6-mile alignment along former Long Island Rail Road right-of-way serving Central Queens with up to four new stations and connections at Aqueduct and Howard Beach. Alternatives included Long Island Rail Road and New York City Transit subway as the modes.
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Objectives,"Provide service to underserved communities; Increase transit options, reduce auto dependence, and improve network connections for intra- and inter-borough travelers; add opportunities for development and growth near stations."
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Total Construction Cost ($2027),"$4,140,000,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Vehicles ($2027),"$169,105,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Annual O&M Cost ($2027),"$22,000,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Daily Riders (2045),"14,500"
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,New Daily Riders (2045),300
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Equity Area Riders (2045),"9,430"
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Travel Time Saved Per Trip (minutes),0.2
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost/Time Saved metric,Cost/minute
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost/Time Saved result,$262.26 
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost/Time Saved score,0
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Equity metric,Percent
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Equity result,65.20%
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Equity score,56
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Sustainability metric,Change in daily vehicle miles traveled
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Sustainability result,"19,891"
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Sustainability score,0
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Resiliency metric,Number of Rail Connections
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Resiliency result,4
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Resiliency score,22
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Capacity metric,Change in passenger hours
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Capacity result,"4,040"
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Capacity score,0
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Geographic distribution metric,Change in hours
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Geographic distribution result,"5,280"
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Geographic distribution score,0
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Network leverage metric,Percent
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Network leverage result,0.51
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Network leverage score,34
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Guideway and Track Elements,"$415,401,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,"Cost: Stations, Stops, Terminals, Intermodal","$191,067,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Support Facilities,"$6,622,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Sitework and Special Considerations,"$902,210,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Systems,"$206,445,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Engineering Contingency,"$303,837,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Professional Services,"$423,752,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Contingency,"$405,116,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Original Estimate Year,2018
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Escalation from original estimate year to Q1 2022 (varies),"$575,743,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Escalation from Q1 2022 to Q3 2027,"$714,482,000 "
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Network Leverage: % on MTA Right of Way,1%
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Network Leverage: % on Public Right of Way,99%
Rockaway Beach Branch Reactivation Alternative Considered: Long Island Rail Road,Network Leverage: % on Private Right of Way,0%
Rockaway Beach Branch Reactivation: New York City Transit,Description,Reactivation of 6-mile alignment along former Long Island Rail Road right-of-way serving Central Queens with up to four new stations and connections at Aqueduct and Howard Beach. Alternatives included Long Island Rail Road and New York City Transit subway as the modes.
Rockaway Beach Branch Reactivation: New York City Transit,Objectives,"Provide service to underserved communities; Increase transit options, reduce auto dependence, and improve network connections for intra- and inter-borough travelers; add opportunities for development and growth near stations."
Rockaway Beach Branch Reactivation: New York City Transit,Total Construction Cost ($2027),"$5,940,000,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Vehicles ($2027),"$101,159,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Annual O&M Cost ($2027),"$95,000,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Daily Riders (2045),"39,200"
Rockaway Beach Branch Reactivation: New York City Transit,New Daily Riders (2045),"2,000"
Rockaway Beach Branch Reactivation: New York City Transit,Equity Area Riders (2045),"32,940"
Rockaway Beach Branch Reactivation: New York City Transit,Travel Time Saved Per Trip (minutes),4
Rockaway Beach Branch Reactivation: New York City Transit,Cost/Time Saved metric,Cost/minute
Rockaway Beach Branch Reactivation: New York City Transit,Cost/Time Saved result,$6.72 
Rockaway Beach Branch Reactivation: New York City Transit,Cost/Time Saved score,56
Rockaway Beach Branch Reactivation: New York City Transit,Equity metric,Percent
Rockaway Beach Branch Reactivation: New York City Transit,Equity result,84.10%
Rockaway Beach Branch Reactivation: New York City Transit,Equity score,80
Rockaway Beach Branch Reactivation: New York City Transit,Sustainability metric,Change in daily vehicle miles traveled
Rockaway Beach Branch Reactivation: New York City Transit,Sustainability result,"-24,297"
Rockaway Beach Branch Reactivation: New York City Transit,Sustainability score,48
Rockaway Beach Branch Reactivation: New York City Transit,Resiliency metric,Number of Rail Connections
Rockaway Beach Branch Reactivation: New York City Transit,Resiliency result,6
Rockaway Beach Branch Reactivation: New York City Transit,Resiliency score,33
Rockaway Beach Branch Reactivation: New York City Transit,Capacity metric,Change in passenger hours
Rockaway Beach Branch Reactivation: New York City Transit,Capacity result,-842
Rockaway Beach Branch Reactivation: New York City Transit,Capacity score,10
Rockaway Beach Branch Reactivation: New York City Transit,Geographic distribution metric,Change in hours
Rockaway Beach Branch Reactivation: New York City Transit,Geographic distribution result,0
Rockaway Beach Branch Reactivation: New York City Transit,Geographic distribution score,0
Rockaway Beach Branch Reactivation: New York City Transit,Network leverage metric,Percent
Rockaway Beach Branch Reactivation: New York City Transit,Network leverage result,0.66
Rockaway Beach Branch Reactivation: New York City Transit,Network leverage score,54
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Guideway and Track Elements,"$884,051,000 "
Rockaway Beach Branch Reactivation: New York City Transit,"Cost: Stations, Stops, Terminals, Intermodal","$141,779,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Support Facilities,"$83,844,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Sitework and Special Considerations,"$1,171,766,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Systems,"$109,933,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Engineering Contingency,"$422,007,000 "
Rockaway Beach Branch Reactivation: New York City Transit,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Professional Services,"$717,412,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Contingency,"$562,676,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Original Estimate Year,2018
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Escalation from original estimate year to Q1 2022 (varies),"$825,652,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Escalation from Q1 2022 to Q3 2027,"$1,024,614,000 "
Rockaway Beach Branch Reactivation: New York City Transit,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Rockaway Beach Branch Reactivation: New York City Transit,Network Leverage: % on MTA Right of Way,31%
Rockaway Beach Branch Reactivation: New York City Transit,Network Leverage: % on Public Right of Way,69%
Rockaway Beach Branch Reactivation: New York City Transit,Network Leverage: % on Private Right of Way,0%
Second Avenue Subway South to Houston,Description,"Extending the Second Avenue Subway south by three miles, from 72nd Street to Houston Street, including the construction of six new subway stations at 55th, 42nd, 34th, 23rd, 14th St, and Houston Streets."
