Agency,Asset Category,Asset,Asset Sub-Category/Components,Total,Units,Condition Criteria,Condition Criteria Percent
LIRR,Line structures,Line structures,Signal Tower,86,Each,Percent in Poor/Marginal Condition,0.19
LIRR,Line structures,Line structures,Lattice Tower,277,Each,Percent in Poor/Marginal Condition,0.13
LIRR,Line structures,Line structures,Culvert,163,Each,Percent in Poor/Marginal Condition,0.2
LIRR,Track,Track,Ballast,500,Track Miles,Percent Due for Replacement,0.35
LIRR,Track,Track,Grade Crossing,417,Each,Percent Due for Replacement,0.64
LIRR,Track,Track,Rail,"5,374,021",Linear Feet,Percent Due for Replacement,0.16
LIRR,Track,Track,Switches,916,Each,Percent Due for Replacement,0.26
LIRR,Track,Track,Tie,"1,519,134",Each,Percent Due for Replacement,0.2
LIRR,Track,Track,Construction Equipment,372,Each,Percent Due for Replacement,0.35
LIRR,Signals,Signals,Switch Machine,970,Each,Percent in Poor/Marginal Condition,0.24
LIRR,Signals,Signals,Signal,812,Each,Percent in Poor/Marginal Condition,0.51
LIRR,Signals,Signals,Supervisory and Control,174,Each,Percent in Poor/Marginal Condition,0.37
LIRR,Signals,Signals,Equipment Location - Huts and Cases,"1,374",Each,Percent in Poor/Marginal Condition,0.59
LIRR,Signals,Signals,Gate Mechanisms,851,Each,Percent in Poor/Marginal Condition,0.28
LIRR,Signals,Signals,Air System,17,Each,Percent in Poor/Marginal Condition,0.82
LIRR,Signals,Signals,Battery,"1,088",Each,Percent in Poor/Marginal Condition,0.57
LIRR,Signals,Signals,Cable,"7,979",Each,Percent in Poor/Marginal Condition,0.54
LIRR,Signals,Signals,Electronic Equipment,283,Each,Percent in Poor/Marginal Condition,0.06
LIRR,Signals,Signals,WIUs (Wayside Interface Units � PTC Signal Component),171,Each,Percent in Poor/Marginal Condition,0.24
LIRR,Signals,Signals,Transponders (PTC Signal Component),"4,500",Each,Percent in Poor/Marginal Condition,0.26
LIRR,Power,Power,Substation Overall (Age Based),129,Each,Percent in Poor/Marginal Condition,0.52
LIRR,Power,Power,Substation Components,"2,826",Each,Percent in Poor/Marginal Condition,0.22
LIRR,Power,Power,"Electrical System (bridge electrical systems, tunnel and yard lighting, emergency generators, wayside power, communication rooms and huts, station building electrical systems, and station and platform lighting)","13,217",Each,Percent in Poor/Marginal Condition,0.52
LIRR,Power,Power,"High Tension Cable, Feeder, and Power Lines",494,Miles,Percent in Poor/Marginal Condition,0.17
LIRR,Power,Power,High Tension Equipment,"7,805",Each,Percent in Poor/Marginal Condition,0.09
LIRR,Power,Power,3rd Rail Bracket,"42,098",Each,Percent in Poor/Marginal Condition,0.19
LIRR,Power,Power,3rd Rail Cable,"1,247,000",Linear Feet,Percent in Poor/Marginal Condition,0.19
LIRR,Power,Power,3rd Rail Fiberglass Protection Board,"1,662,000",Linear Feet,Percent in Poor/Marginal Condition,0.48
LIRR,Power,Power,3rd Rail Wood Protection Board,"15,000",Linear Feet,Percent in Poor/Marginal Condition,0
LIRR,Power,Power,3rd Rail Reactor,115,Each,Percent in Poor/Marginal Condition,0.66
LIRR,Power,Power,3rd Rail � Aluminum,"79,000",Linear Feet,Percent in Poor/Marginal Condition,0
LIRR,Power,Power,3rd Rail � Composite,"1,108,000",Linear Feet,Percent in Poor/Marginal Condition,0
LIRR,Power,Power,3rd Rail � Conventional,"55,000",Linear Feet,Percent in Poor/Marginal Condition,0.97
LIRR,Communication Infrastructure,Communication Infrastructure,Wooden Poles,"9,998",Each,Percent in Poor/Marginal Condition,0.17
LIRR,Communication Infrastructure,Communication Infrastructure,Fiber Optics (Current Standard),225,Miles,Percent in Poor/Marginal Condition,0
LIRR,Communication Infrastructure,Communication Infrastructure,Cable - SM Fiber (Old Standard),635,Miles,Percent in Poor/Marginal Condition,0
LIRR,Communication Infrastructure,Communication Infrastructure,Cable - Copper,720,Miles,Percent in Poor/Marginal Condition,1
LIRR,Communication Infrastructure,Communication Infrastructure,Communication Support System,"5,796",Each,Percent in Poor/Marginal Condition,0.28
LIRR,Communication Infrastructure,Communication Infrastructure,Outside Plant,622,Each,Percent in Poor/Marginal Condition,0.22
LIRR,Communication Infrastructure,Communication Infrastructure,PTC System,"4,178",Each,Percent in Poor/Marginal Condition,0
LIRR,Communication Infrastructure,Communication Infrastructure,Radio Base Stations,270,Each,Percent in Poor/Marginal Condition,0.69
LIRR,Communication Infrastructure,Communication Infrastructure,Communication Huts,398,Each,Percent in Poor/Marginal Condition,0.26
LIRR,Communication Infrastructure,Communication Infrastructure,Radio Equipment,"3,465",Each,Percent in Poor/Marginal Condition,0.39
LIRR,Communication Infrastructure,Communication Infrastructure,Radio Cable,23,Miles,Percent in Poor/Marginal Condition,0.57
MNR,"Shops, yards, and facilities",Yards and Yard Assets,Employee Facilities,9,Each,Percent in Poor/Marginal Condition,0.13
MNR,"Shops, yards, and facilities",Yards and Yard Assets,Utilities,8,Each,Percent in Poor/Marginal Condition,0.38
MNR,"Shops, yards, and facilities",Yards and Yard Assets,Yard Utilities,36,Each,Percent in Poor/Marginal Condition,0.42
MNR,"Shops, yards, and facilities",Yards and Yard Assets,Plumbing and Drainage,37,Each,Percent in Poor/Marginal Condition,0.41
MNR,"Shops, yards, and facilities",Yards and Yard Assets,Fire Protection,2,Each,Percent in Poor/Marginal Condition,0.5
MNR,"Shops, yards, and facilities",Yards and Yard Assets,Yard Substation,4,Each,Percent in Poor/Marginal Condition,0
MNR,"Shops, yards, and facilities",MOE Shops,Employee Facilities,12,Each,Percent in Poor/Marginal Condition,0.17
MNR,"Shops, yards, and facilities",MOE Shops,Air Curtain Doors,6,Each,Percent in Poor/Marginal Condition,0
MNR,"Shops, yards, and facilities",MOE Shops,Building Exterior,19,Each,Percent in Poor/Marginal Condition,0.21
MNR,"Shops, yards, and facilities",MOE Shops,Building Utilities,16,Each,Percent in Poor/Marginal Condition,0.06
MNR,"Shops, yards, and facilities",MOE Shops,HVAC,19,Each,Percent in Poor/Marginal Condition,0.11
MNR,"Shops, yards, and facilities",MOE Shops,Roofs,19,Each,Percent in Poor/Marginal Condition,0.16
MNR,"Shops, yards, and facilities",MOE Shops,Walls,27,Each,Percent in Poor/Marginal Condition,0.11
MNR,"Shops, yards, and facilities",MOE Shops,Windows,15,Each,Percent in Poor/Marginal Condition,0.07
MNR,"Shops, yards, and facilities",MOE Shops,"Equipment (e.g., car cranes, equipment lifts, wheel true)",235,Each,Percent in Poor/Marginal Condition,0.89
MNR,"Shops, yards, and facilities",MOW Shops,Air Curtain Doors,1,Each,Percent in Poor/Marginal Condition,0
MNR,"Shops, yards, and facilities",MOW Shops,Building Exterior,60,Each,Percent in Poor/Marginal Condition,0.72
MNR,"Shops, yards, and facilities",MOW Shops,Building Utilities,65,Each,Percent in Poor/Marginal Condition,0.68
MNR,"Shops, yards, and facilities",MOW Shops,Employee Facilities,14,Each,Percent in Poor/Marginal Condition,0.5
MNR,"Shops, yards, and facilities",MOW Shops,HVAC,16,Each,Percent in Poor/Marginal Condition,0.44
MNR,"Shops, yards, and facilities",MOW Shops,Roofs,59,Each,Percent in Poor/Marginal Condition,0.71
MNR,"Shops, yards, and facilities",MOW Shops,Walls,96,Each,Percent in Poor/Marginal Condition,0.75
MNR,"Shops, yards, and facilities",MOW Shops,Windows,48,Each,Percent in Poor/Marginal Condition,0.67
MNR,Passenger stations,Passenger stations,Platforms,134,Each,Percent in Poor/Marginal Condition,0.19
MNR,Passenger stations,Passenger stations,Canopies,113,Each,Percent in Poor/Marginal Condition,0.02
MNR,Passenger stations,Passenger stations,Shelters,124,Each,Percent in Poor/Marginal Condition,0.02
MNR,Passenger stations,Passenger stations,Elevators,105,Each,Percent in Poor/Marginal Condition,0.89
MNR,Passenger stations,Passenger stations,Escalators,2,Each,Percent in Poor/Marginal Condition,0
MNR,Passenger stations,Passenger stations,Stairs,340,Each,Percent in Poor/Marginal Condition,0.07
MNR,Passenger stations,Passenger stations,ADA Ramps,83,Each,Percent in Poor/Marginal Condition,0.02
MNR,Passenger stations,Passenger stations,Overpass,50,Each,Percent in Poor/Marginal Condition,0
MNR,Passenger stations,Passenger stations,Underpass,12,Each,Percent in Poor/Marginal Condition,0.33
MNR,Passenger stations,Passenger stations,Station Building,34,Each,Percent in Poor/Marginal Condition,0.03
MNR,Passenger stations,Passenger stations,Parking Lot,72,Each,Percent in Poor/Marginal Condition,0.17
MNR,Passenger stations,Passenger stations,Parking Garage,4,Each,Percent in Poor/Marginal Condition,0.25
MNR,Public communications and security,Public communications and security,Office (head end) Public Address/Visual Information System (PA/VIS),2,Each,Percent in Poor/Marginal Condition,1
MNR,Public communications and security,Public communications and security,Grand Central Terminal Big Board,1,Each,Percent in Poor/Marginal Condition,0
MNR,Public communications and security,Public communications and security,Grand Central Terminal Arrival/Departure Boards,72,Each,Percent in Poor/Marginal Condition,0
MNR,Public communications and security,Public communications and security,Grand Central Terminal Gate Boards,96,Each,Percent in Poor/Marginal Condition,0
MNR,Public communications and security,Public communications and security,Grand Central Terminal Employee Displays,17,Each,Percent in Poor/Marginal Condition,0
MNR,Public communications and security,Public communications and security,"Grand Central Terminal Station PA (speakers, ambient, sensing microphones)",600,Each,Percent in Poor/Marginal Condition,0
MNR,Public communications and security,Public communications and security,Grand Central Terminal Customer Communications Network/Cable Plant,1,Each,Percent in Poor/Marginal Condition,0
MNR,Public communications and security,Public communications and security,PA/VIS - Ticket Office,30,Each,Percent in Poor/Marginal Condition,1
MNR,Public communications and security,Public communications and security,Station Digital Displays,827,Each,Percent in Poor/Marginal Condition,0.4
MNR,Public communications and security,Public communications and security,"Station PA (speakers, ambient sensing microphones)","2,293",Each,Percent in Poor/Marginal Condition,0
MNR,Public communications and security,Public communications and security,Station Intercoms,87,Each,Percent in Poor/Marginal Condition,0.1
MNR,Public communications and security,Public communications and security,Station Communications Network/Cable Plant,10,Each,Percent in Poor/Marginal Condition,1
MNR,Public communications and security,Public communications and security,"Station Equipment (controllers, digital signal processors, amplifiers)",87,Each,Percent in Poor/Marginal Condition,0.8
MNR,Public communications and security,Public communications and security,"Security Head End, Workstations, Servers",96,Each,Percent in Poor/Marginal Condition,0.76
MNR,Public communications and security,Public communications and security,"Security Cameras, Recorders and Server","2,743",Each,Percent in Poor/Marginal Condition,0.52
MNR,Public communications and security,Public communications and security,Security Switches (field data transfer links to head end security system),382,Each,Percent in Poor/Marginal Condition,0.32
MNR,Grand Central Terminal,Grand Central Terminal,"GCT Building and Structures (building and block area structural supports and roof, elevated Park Avenue roadway(",5,Each,Percent in Poor/Marginal Condition,0.6
MNR,Grand Central Terminal,Grand Central Terminal,"Platforms, Platform Edges, Platform Expansion Joints",113,Each,Percent in Poor/Marginal Condition,0.77
MNR,Grand Central Terminal,Grand Central Terminal,Interior/Exterior Architecture Systems,146,Each,Percent in Poor/Marginal Condition,0.47
MNR,Grand Central Terminal,Grand Central Terminal,Electrical Systems,13,Each,Percent in Poor/Marginal Condition,0.38
MNR,Grand Central Terminal,Grand Central Terminal,"Fire/Life Safety Systems (fire alarm, standpipe, sprinkler)",10,Each,Percent in Poor/Marginal Condition,0.27
MNR,Grand Central Terminal,Grand Central Terminal,HVAC Systems,25,Each,Percent in Poor/Marginal Condition,0.48
MNR,Grand Central Terminal,Grand Central Terminal,"Plumbing Systems (domestic hot and cold water, sanitary, sewerage, drainage, steam)",16,Each,Percent in Poor/Marginal Condition,0.75
MNR,Grand Central Terminal,Grand Central Terminal,"Elevator (passenger, freight)",32,Each,Percent in Poor/Marginal Condition,0.19
MNR,Grand Central Terminal,Grand Central Terminal,Escalators (passenger),14,Each,Percent in Poor/Marginal Condition,0.07
MNR,Grand Central Artery,Train Shed,Train Shed Main Bridge Structural Framing,6,Structure,Percent in Poor/Marginal Condition,0.83
MNR,Grand Central Artery,Train Shed,Train Shed Structural Supports and Roof Slab,4,Structure,Percent in Poor/Marginal Condition,1
MNR,Grand Central Artery,Train Shed,Train Shed Expansion Joints,"19,045",Feet,Percent in Poor/Marginal Condition,0.12
MNR,Grand Central Artery,Train Shed,Train Shed Drainage System,5,Systems,Percent in Poor/Marginal Condition,1
MNR,Grand Central Artery,Train Shed,Train Shed Waterproofing System,5,Systems,Percent in Poor/Marginal Condition,0.8
MNR,Grand Central Artery,Train Shed,"Train Shed Misc. Steel (gratings, drip pans, utility service carriers and supports)",5,Systems,Percent in Poor/Marginal Condition,0.8
MNR,Grand Central Artery,Train Shed,Train Shed HVAC System,1,Systems,Percent in Poor/Marginal Condition,1
MNR,Grand Central Artery,Train Shed,Train Shed Electrical Systems,3,Systems,Percent in Poor/Marginal Condition,0.33
MNR,Grand Central Artery,Train Shed,Train Shed Fire Standpipe Systems (Upper/Lower Levels),2,Systems,Percent in Poor/Marginal Condition,0.5
MNR,Grand Central Artery,Train Shed,Train Shed Architectural,15,Systems,Percent in Poor/Marginal Condition,0.6
MNR,Grand Central Artery,Park Avenue Tunnel,"Park Ave Tunnel Electrical Systems (tunnel lighting, tunnel alarm, third rail traction power)",3,Systems,Percent in Poor/Marginal Condition,1
MNR,Grand Central Artery,Park Avenue Tunnel,"Park Avenue Tunnel Main Structural Framing (brick walls, arches, steel framing)",1,Systems,Percent in Poor/Marginal Condition,1
MNR,Grand Central Artery,Park Avenue Tunnel,"Park Avenue Tunnel Utility Bays (steel supports, concrete walls, infill)",1,Systems,Percent in Poor/Marginal Condition,1
MNR,Grand Central Artery,Park Avenue Tunnel,Park Avenue Tunnel Ventilation Shafts and Gratings,80,Each,Percent in Poor/Marginal Condition,1
MNR,Grand Central Artery,Park Avenue Tunnel,"Park Ave Tunnel Structures (existing emergency stairs and exits at 59th, 72nd and 86th streets)",3,Sets,Percent in Poor/Marginal Condition,0.83
MNR,Grand Central Artery,Park Avenue Viaduct,Viaduct Structure,104,Spans,Percent in Poor/Marginal Condition,0.77
MNR,Grand Central Artery,Park Avenue Viaduct,Viaduct Deck,"6,346",Linear Feet,Percent in Poor/Marginal Condition,0.77
MNR,Line Structures,Line Structures,Undergrade Bridge,181,Each,Percent in Poor/Marginal Condition,0.46
MNR,Line Structures,Line Structures,Culvert - Undergrade,189,Each,Percent in Poor/Marginal Condition,0.65
MNR,Line Structures,Line Structures,Overhead Bridge,313,Each,Percent in Poor/Marginal Condition,0.23
MNR,Line Structures,Line Structures,Retaining Wall,707,Each,Percent in Poor/Marginal Condition,0.27
MNR,Line Structures,Line Structures,Tunnels,9,Each,Percent in Poor/Marginal Condition,0.11
MNR,Track,Track,Grade Crossing,49,Each,Percent in Poor/Marginal Condition,0.35
MNR,Track,Track,Hi-Rail Work Equipment,607,Each,Percent in Poor/Marginal Condition,0.46
MNR,Track,Track,Non-Revenue Rolling Stock,202,Each,Percent in Poor/Marginal Condition,0.42
MNR,Track,Track,Rail,"1,004",Rail miles,Percent in Poor/Marginal Condition,0.39
MNR,Track,Track,Ties - Concrete,"468,174",Each,Percent in Poor/Marginal Condition,0.39
MNR,Track,Track,Ties - Wood,"1,090,507",Each,Percent in Poor/Marginal Condition,0.16
MNR,Track,Track,Turnouts (switches),838,Each,Percent in Poor/Marginal Condition,0.45
MNR,Signals,Signals,Signal Systems - Hudson Line,76,Miles,Percent in Poor/Marginal Condition,0.93
MNR,Signals,Signals,Signal Systems - Harlem Line,81,Miles,Percent in Poor/Marginal Condition,0.52
MNR,Signals,Signals,Signal Systems - New Haven Line (NYS only),14,Miles,Percent in Poor/Marginal Condition,0
MNR,Signals,Signals,Signal Systems - Port Jervis Line,60,Miles,Percent in Poor/Marginal Condition,0
MNR,Signals,Signals,Signal CTC Office SCADA Power Control Centers assets,"1,445",Each,Percent in Poor/Marginal Condition,0.78
MNR,Signals,Signals,"PTC (office systems, onboard systems, field systems)","3,825",Each,Percent in Poor/Marginal Condition,0
MNR,Signals,Signals,Grade Crossing Flashers and Gates,37,Each,Percent in Poor/Marginal Condition,0
MNR,Signals,Signals,"Signal Field Infrastructure (hot box detectors, dragging equipment detectors, block carriers, overlay equipment, etc.)","1,821",Each,Percent in Poor/Marginal Condition,0.49
MNR,Signals,Signals,Switch Machines,930,Each,Percent in Poor/Marginal Condition,0.46
MNR,Power,Power,"Third Rail Components (brackets, connectors, insulators, snow melters, etc.)","291,065",Each,Percent in Poor/Marginal Condition,1
MNR,Power,Power,Third Rail Linear Assets (rail),308,Miles,Percent in Poor/Marginal Condition,1
MNR,Power,Power,DC Substations,55,Each,Percent in Poor/Marginal Condition,0.89
MNR,Power,Power,DC Circuit Breaker Houses,3,Each,Percent in Poor/Marginal Condition,0.33
MNR,Power,Power,DC Substation Auxiliary,50,Sets,Percent in Poor/Marginal Condition,0
MNR,Power,Power,AC Substations,6,Each,Percent in Poor/Marginal Condition,0.83
MNR,Power,Power,"AC Substation Assets (switches, transformers, supply stations)",20,Each,Percent in Poor/Marginal Condition,0.95
MNR,Power,Power,Signal Power Substations,6,Each,Percent in Poor/Marginal Condition,0.83
MNR,Power,Power,"Signal Power Assets (transformers, switches, back-up generators)",301,Each,Percent in Poor/Marginal Condition,1
MNR,Power,Power,Signal Power Cable,186,Miles,Percent in Poor/Marginal Condition,1
MNR,Power,Power,Cable Linear Assets,567,Miles,Percent in Poor/Marginal Condition,1
MNR,Power,Power,Catenary,36,Miles,Percent in Poor/Marginal Condition,1
MNR,Power,Power,Cable Plant Catenary Poles,245,Each,Percent in Poor/Marginal Condition,1
MNR,Power,Power,"Catenary Plant Assets (pulleys, balance assemblies, etc.)","1,935",Each,Percent in Poor/Marginal Condition,1
MNR,Power,Power,Transmission Assets,692,Each,Percent in Poor/Marginal Condition,0.95
MNR,Power,Power,Transmission Bare Overhead Feeders (15kV),18,Miles,Percent in Poor/Marginal Condition,1
MNR,Power,Power,Transmission Wood Poles,"1,400",Each,Percent in Poor/Marginal Condition,0.79
MNR,Power,Power,"Harlem River Lift Bridge Plant (control systems, motors, drives)",17,Each,Percent in Poor/Marginal Condition,0
MNR,Power,Power,Stand-by-Power Assets,66,Each,Percent in Poor/Marginal Condition,1
MNR,Power,Power,Passenger Station Lighting Assets,"1,500",Each,Percent in Poor/Marginal Condition,1
MNR,Communication infrastructure,Communication infrastructure,"Fiber Optic Transmission Equipment (node houses) and Local Fiber Connections to CILs, MLs, Substations, Passenger Stations",970,Each,Percent in Poor/Marginal Condition,0.85
MNR,Communication infrastructure,Communication infrastructure,Voice Radio Equipment,"7,268",Each,Percent in Poor/Marginal Condition,1
MNR,Communication infrastructure,Communication infrastructure,Voice Rado Cable,"100,000",Feet,Percent in Poor/Marginal Condition,1
MNR,Communication infrastructure,Communication infrastructure,Telephone Equipment,118,Each,Percent in Poor/Marginal Condition,1
MNR,Communication infrastructure,Communication infrastructure,Uninterruptible Power Supply System,1,Each,Percent in Poor/Marginal Condition,0
MNR,Communication infrastructure,Communication infrastructure,Wire/Fiber,376,Miles,Percent in Poor/Marginal Condition,0.12
MNR,Communication infrastructure,Communication infrastructure,GCT Wire/Fiber,208,Segments,Percent in Poor/Marginal Condition,0.45
MNR,Communication infrastructure,Communication infrastructure,Construction Equipment,10,Each,Percent in Poor/Marginal Condition,0.5
MNR,Communication infrastructure,Communication infrastructure,Employee Facilities,15,Each,Percent in Poor/Marginal Condition,0.2
B&T,Bridges,Bronx-Whitestone Bridge,Structures,N/A,N/A,Needs update/replacement,0.15
B&T,Bridges,Bronx-Whitestone Bridge,Roadways and Decks,N/A,N/A,Needs update/replacement,0.03
B&T,Bridges,Bronx-Whitestone Bridge,Utilities,N/A,N/A,Needs update/replacement,0.09
B&T,Bridges,Bronx-Whitestone Bridge,Buildings,N/A,N/A,Needs update/replacement,0.29
B&T,Bridges,Robert F. Kennedy Bridge,Structures,N/A,N/A,Needs update/replacement,0.06
B&T,Bridges,Robert F. Kennedy Bridge,Roadways and Decks,N/A,N/A,Needs update/replacement,0.15
B&T,Bridges,Robert F. Kennedy Bridge,Utilities,N/A,N/A,Needs update/replacement,0.11
B&T,Bridges,Robert F. Kennedy Bridge,Buildings,N/A,N/A,Needs update/replacement,0.39
B&T,Bridges,Throgs Neck Bridge,Structures,N/A,N/A,Needs update/replacement,0.13
B&T,Bridges,Throgs Neck Bridge,Roadways and Decks,N/A,N/A,Needs update/replacement,0.22
B&T,Bridges,Throgs Neck Bridge,Utilities,N/A,N/A,Needs update/replacement,0.29
B&T,Bridges,Throgs Neck Bridge,Buildings,N/A,N/A,Needs update/replacement,0.5
B&T,Bridges,Verrazzano-Narrow Bridge,Structures,N/A,N/A,Needs update/replacement,0.31
B&T,Bridges,Verrazzano-Narrow Bridge,Roadways and Decks,N/A,N/A,Needs update/replacement,0.4
B&T,Bridges,Verrazzano-Narrow Bridge,Utilities,N/A,N/A,Needs update/replacement,0.32
B&T,Bridges,Verrazzano-Narrow Bridge,Buildings,N/A,N/A,Needs update/replacement,0.45
B&T,Bridges,Henry Hudson Bridge,Structures,N/A,N/A,Needs update/replacement,0.02
B&T,Bridges,Henry Hudson Bridge,Roadways and Decks,N/A,N/A,Needs update/replacement,0.05
B&T,Bridges,Henry Hudson Bridge,Utilities,N/A,N/A,Needs update/replacement,0.11
B&T,Bridges,Henry Hudson Bridge,Buildings,N/A,N/A,Needs update/replacement,0.29
B&T,Bridges,Cross Bay Bridge,Structures,N/A,N/A,Needs update/replacement,0.12
B&T,Bridges,Cross Bay Bridge,Roadways and Decks,N/A,N/A,Needs update/replacement,0.07
B&T,Bridges,Cross Bay Bridge,Utilities,N/A,N/A,Needs update/replacement,0.09
B&T,Bridges,Cross Bay Bridge,Buildings,N/A,N/A,Needs update/replacement,0.3
B&T,Bridges,Marine Parkway Bridge,Structures,N/A,N/A,Needs update/replacement,0.2
B&T,Bridges,Marine Parkway Bridge,Roadways and Decks,N/A,N/A,Needs update/replacement,0.13
B&T,Bridges,Marine Parkway Bridge,Utilities,N/A,N/A,Needs update/replacement,0.26
B&T,Bridges,Marine Parkway Bridge,Buildings,N/A,N/A,Needs update/replacement,0.3
B&T,Tunnels,Hugh L. Carey Tunnel,Structures,N/A,N/A,Needs update/replacement,0.04
B&T,Tunnels,Hugh L. Carey Tunnel,Roadways and Plazas,N/A,N/A,Needs update/replacement,0.47
B&T,Tunnels,Hugh L. Carey Tunnel,Utilities,N/A,N/A,Needs update/replacement,0.12
B&T,Tunnels,Hugh L. Carey Tunnel,Buildings,N/A,N/A,Needs update/replacement,0.4
B&T,Tunnels,Battery Parking Garage,Utilities,N/A,N/A,Needs update/replacement,0.23
B&T,Tunnels,Battery Parking Garage,Buildings,N/A,N/A,Needs update/replacement,0.39
B&T,Tunnels,Queens Midtown Tunnel,Structures,N/A,N/A,Needs update/replacement,0.02
B&T,Tunnels,Queens Midtown Tunnel,Roadways and Plazas,N/A,N/A,Needs update/replacement,0.14
B&T,Tunnels,Queens Midtown Tunnel,Utilities,N/A,N/A,Needs update/replacement,0.14
B&T,Tunnels,Queens Midtown Tunnel,Buildings,N/A,N/A,Needs update/replacement,0.45
MTA PD,Facilities,Facilities,Building Structure,26,Each,Percent in Poor/Marginal Condition,0.04
MTA PD,Facilities,Facilities,Elevator,2,Each,Percent in Poor/Marginal Condition,0
MTA PD,Facilities,Facilities,Generator,8,Each,Percent in Poor/Marginal Condition,0
MTA PD,Facilities,Facilities,HVAC,17,Each,Percent in Poor/Marginal Condition,0
MTA PD,Facilities,Facilities,Office,1,Each,Percent in Poor/Marginal Condition,0
MTA PD,Facilities,Facilities,Roof,17,Each,Percent in Poor/Marginal Condition,0.06
MTA PD,Facilities,Facilities,Other,5,Each,Percent in Poor/Marginal Condition,0
MTA PD,Communications,Communications,Emergency Operations Control System,108,Each,Percent in Poor/Marginal Condition,0.33
MTA PD,Communications,Communications,Radio Equipment,"2,500",Each,Percent in Poor/Marginal Condition,0
MTA PD,Communications,Communications,Metropolitan Regional Radio System,235,Each,Percent in Poor/Marginal Condition,0
